User_Id,Place_Id,Click_Timestamp,Source
1,358,2025-02-24 14:46:29,recommendations
1,385,2025-02-23 23:23:29,recommendations
1,365,2024-11-14 12:33:29,search
2,121,2025-02-23 20:38:29,homepage
2,118,2024-10-17 14:39:29,recommendations
2,250,2025-03-29 23:24:29,recommendations
3,303,2025-04-06 3:39:29,external_ad
3,25,2025-03-01 19:51:29,recommendations
3,384,2024-11-27 21:41:29,search
3,269,2024-10-17 19:39:29,external_ad
3,353,2025-04-10 7:38:29,recommendations
4,402,2024-11-27 13:57:29,homepage
4,252,2024-11-05 10:44:29,search
4,139,2025-01-11 8:49:29,recommendations
4,334,2024-12-02 6:42:30,search
4,416,2025-01-16 20:56:30,external_ad
4,84,2025-02-07 11:13:30,recommendations
5,288,2024-11-13 20:06:30,external_ad
5,283,2025-01-28 10:33:30,external_ad
5,4,2025-04-09 4:14:30,homepage
5,160,2025-03-26 13:02:30,homepage
6,105,2024-12-23 17:14:30,recommendations
6,114,2025-02-21 3:55:30,recommendations
6,246,2025-01-05 2:13:30,homepage
6,231,2025-01-30 5:13:30,homepage
7,271,2025-01-04 19:38:30,homepage
7,288,2024-11-09 19:42:30,homepage
7,428,2024-11-30 14:36:30,recommendations
7,208,2025-03-14 14:02:30,recommendations
8,305,2025-01-07 20:53:30,homepage
8,225,2025-01-06 12:25:30,external_ad
8,213,2024-12-20 5:32:30,homepage
8,231,2024-10-21 11:22:30,recommendations
8,284,2025-03-11 23:16:30,recommendations
8,304,2025-03-09 15:26:30,search
9,421,2025-02-26 4:54:30,homepage
9,405,2024-11-29 6:31:30,recommendations
9,424,2025-03-17 16:54:30,search
9,397,2024-12-29 19:58:30,recommendations
9,404,2024-12-30 7:10:30,external_ad
9,423,2024-12-02 10:37:30,recommendations
9,433,2025-02-22 2:46:30,homepage
10,70,2024-12-03 16:13:30,external_ad
10,351,2024-11-03 10:55:30,homepage
10,309,2024-10-22 2:22:30,search
10,426,2025-04-04 18:29:30,recommendations
10,322,2025-03-06 4:52:30,recommendations
10,227,2025-04-09 16:59:30,homepage
10,233,2024-11-03 19:01:30,homepage
10,98,2024-12-26 12:15:30,recommendations
10,409,2024-12-21 17:13:30,homepage
11,146,2025-01-15 3:04:30,homepage
11,113,2024-10-21 21:24:30,external_ad
12,387,2025-02-09 11:40:30,homepage
12,316,2025-01-27 2:58:30,recommendations
12,257,2025-03-16 0:40:30,search
12,104,2024-10-25 11:57:30,homepage
13,248,2024-12-30 15:51:30,search
13,164,2024-10-31 19:00:30,recommendations
13,179,2024-12-04 7:20:30,external_ad
13,215,2025-01-15 6:15:30,recommendations
14,220,2025-03-14 15:12:30,search
14,296,2024-12-16 17:34:30,homepage
14,158,2024-11-05 9:29:30,recommendations
14,188,2025-01-31 19:35:30,search
15,306,2025-04-08 23:09:30,homepage
15,236,2024-12-19 15:40:30,recommendations
15,430,2025-02-20 10:50:30,homepage
